run,metric,delta_mean_phase3_minus_phase2fusion,ci95_low,ci95_high,n_aligned
main,emotion_macro_f1,-0.01756576162789398,-0.025699684120228522,-0.008479767961366028,8498
cross_crema_to_ravdess,emotion_macro_f1,0.05696315697792601,0.029280606999979742,0.08553760390689394,1056
cross_ravdess_to_crema,emotion_macro_f1,-0.0006808450915748937,-0.006810984790456781,0.005884276447264336,7442
