name,kind,mode,summary_json,emotion_acc,emotion_macro_f1,arousal2_mae,arousal3_mae,delta_f1_vs_phase2_fusion_main,delta_f1_vs_phase3_fp32_main
ml_v2_logreg_fusion,ml,fusion,derived/results/ml_baselines_phase35_v2_logreg_main/summary.json,0.4408096022593551,0.42052220516131583,0.2379182156133829,0.6095238095238096,0.025509551931966357,0.0429972048550078
ml_v2_rf_fusion,ml,fusion,derived/results/ml_baselines_phase35_v2_rf_main/summary.json,0.42868910331842786,0.4066485349840696,0.2325485336637753,0.5992673992673992,0.011635881754720134,0.029123534677761576
fp32_v2_ce_fusion,fp32,fusion,derived/results/fp32_multitask_phase35_v2_ce_main/summary.json,0.43280771946340313,0.39800955740892113,0.22800495662949194,0.567032967032967,0.0029969041795716578,0.0204845571026131
ml_v2_rf_audio,ml,audio,derived/results/ml_baselines_phase35_v2_rf_main/summary.json,0.40738997411155564,0.39182397546609665,0.2362660057827344,0.5985347985347985,-0.003188677763252823,0.014298975159788618
ml_v2_logreg_audio,ml,audio,derived/results/ml_baselines_phase35_v2_logreg_main/summary.json,0.412332313485526,0.3857523683725484,0.2540272614622057,0.6102564102564103,-0.009260284856801082,0.00822736806624036
ml_v2_logreg_video,ml,video,derived/results/ml_baselines_phase35_v2_logreg_main/summary.json,0.2726523887973641,0.2551692013670208,0.3225939694341181,0.7311355311355311,-0.13984345186232866,-0.12235579893928722
ml_v2_rf_video,ml,video,derived/results/ml_baselines_phase35_v2_rf_main/summary.json,0.23499646975759003,0.2335535753672204,0.3440726972325485,0.7553113553113553,-0.16145907786212907,-0.14397142493908763
