name,kind,summary_json,emotion_acc,emotion_macro_f1,arousal2_mae,arousal3_mae,delta_f1_vs_phase2_main,delta_f1_vs_phase3_main,delta_f1_vs_v5_logreg_main
fp32_v6_ce_ls_ws_main,fp32,derived/results/fp32_multitask_phase35_v6_ce_ls_ws_main/summary.json,0.5993880193009298,0.5985302197244017,0.23337463857909954,0.5516483516483517,0.2035175664950522,0.22100521941809365,0.02510866108560217
fp32_v6_focal_ws_main,fp32,derived/results/fp32_multitask_phase35_v6_focal_ws_main/summary.json,0.5909144403907262,0.5905100217870198,0.23296158612143741,0.5567765567765568,0.19549736855767036,0.2129850214807118,0.017088463148220323
v5_logreg_main_ref,ml,derived/results/ml_baselines_phase35_v5_logreg_main/summary.json,0.5729080852065435,0.5734215586387995,0.26022304832713755,0.5538461538461539,0.17840890540945004,0.19589655833249148,0.0
