name,summary_json,device,emotion_acc,emotion_macro_f1,arousal2_mae,arousal3_mae,delta_f1_vs_v7_best,delta_f1_vs_v7_best_cuda,gap_to_0_7
fp32_v8_hubert_ensemble_vote3_main_t3_t4,derived/results/fp32_multitask_phase35_v8_hubert_ensemble_vote3_main_t3_t4/summary.json,ensemble,0.7088384135577263,0.7098786794158665,0.21520033044196613,0.5223443223443224,0.10424821548480379,0.11069264284580183,-0.00987867941586651
fp32_v8_hubert_ensemble_vote3,derived/results/fp32_multitask_phase35_v8_hubert_ensemble_vote3/summary.json,ensemble,0.703424738142874,0.7046525915143128,0.2271788517141677,0.5465201465201465,0.09902212758325013,0.10546655494424817,-0.004652591514312854
fp32_v8_hubert_gated_wide_tune4,derived/results/fp32_multitask_phase35_v8_hubert_gated_wide_tune4/summary.json,cuda,0.6974226197481465,0.69917018470261,0.22635274679884346,0.5391941391941392,0.09353972077154737,0.09998414813254541,0.000829815297389902
fp32_v8_hubert_gated_wide_tune2,derived/results/fp32_multitask_phase35_v8_hubert_gated_wide_tune2/summary.json,cuda,0.6945980934447452,0.6960545392457912,0.2271788517141677,0.5465201465201465,0.09042407531472851,0.09686850267572655,0.003945460754208763
fp32_v8_hubert_gated_wide_tune1,derived/results/fp32_multitask_phase35_v8_hubert_gated_wide_tune1/summary.json,cuda,0.6937742732729199,0.6950220012907522,0.22057001239157373,0.5282051282051282,0.08939153735968952,0.09583596472068756,0.004977998709247755
fp32_v8_hubert_gated_wide_tune3,derived/results/fp32_multitask_phase35_v8_hubert_gated_wide_tune3/summary.json,cuda,0.6933035188890196,0.6939962411020756,0.21767864518793886,0.5135531135531135,0.0883657771710129,0.09481020453201094,0.006003758897924372
fp32_v8_hubert_gated_wide_main,derived/results/fp32_multitask_phase35_v8_hubert_gated_wide_main/summary.json,cuda,0.6904789925856184,0.69131042791015,0.2218091697645601,0.5304029304029304,0.08567996397908728,0.09212439134008532,0.008689572089849995
fp32_v7_best_ref,derived/results/fp32_multitask_phase35_v7_ce_ls_ws_gated_wide_main/summary.json,cpu,0.6060962692715076,0.6056304639310627,0.23048327137546468,0.5604395604395604,0.0,0.00644442736099804,0.09436953606893728
fp32_v7_best_cuda_ref,derived/results/fp32_multitask_phase35_v7_ce_ls_ws_gated_wide_main_cuda/summary.json,cuda,0.5997410850888549,0.5991860365700646,0.23296158612143741,0.5597069597069597,-0.00644442736099804,0.0,0.10081396342993532
