run,phase3_emotion_acc,phase3_emotion_macro_f1,phase3_emotion_n,phase3_arousal2_mae,phase3_arousal2_n,phase3_arousal3_mae,phase3_arousal3_n,phase2_fusion_emotion_acc,phase2_fusion_emotion_macro_f1,phase2_fusion_emotion_n,phase2_fusion_arousal2_mae,phase2_fusion_arousal2_n,phase2_fusion_arousal3_mae,phase2_fusion_arousal3_n,delta_emotion_macro_f1,delta_arousal2_mae,delta_arousal3_mae
main,0.41951047305248296,0.37752500030630803,8498,0.23007021891780255,2421,0.5868131868131868,1365,0.4122146387385267,0.3950126532293495,8498,0.24783147459727387,2421,0.5875457875457876,1365,-0.01748765292304144,-0.017761255679471316,-0.00073260073260073
cross_crema_to_ravdess,0.32007575757575757,0.28649567464261494,1056,0.3399621212121212,1056,,0,0.2528409090909091,0.22879563149425453,1056,0.2793560606060606,1056,,0,0.057700043148360414,0.06060606060606061,
cross_ravdess_to_crema,0.17092179521633968,0.07050561628706209,7442,0.4666666666666667,1365,0.7934065934065934,1365,0.17145928513840367,0.07141204059213567,7442,0.31648351648351647,1365,,0,-0.0009064243050735804,0.1501831501831502,
