run,lhs_mode,rhs_mode,delta_macro_f1_mean,delta_macro_f1_ci95_lo,delta_macro_f1_ci95_hi
main,fusion,audio,0.028085088652207057,0.019623797907523395,0.037296121521774764
main,fusion,video,0.1416897519318236,0.12940253082675757,0.1531234558933171
main,audio,video,0.11360466327961655,0.10164414252827544,0.12637692272261628
cross_crema_to_ravdess,fusion,audio,-0.011067257939005926,-0.04255540389644597,0.018580230525938914
cross_crema_to_ravdess,fusion,video,0.0557328486009596,0.02893015751206792,0.0820669129174173
cross_crema_to_ravdess,audio,video,0.06680010653996553,0.03679005173735235,0.09796477737415937
cross_ravdess_to_crema,fusion,audio,-0.05840484778841267,-0.06608940647286218,-0.05152409270348311
cross_ravdess_to_crema,fusion,video,0.022656440963097272,0.01809663735413019,0.02694933121088945
cross_ravdess_to_crema,audio,video,0.08106128875150995,0.07492154058523978,0.08704933698613329
