name,kind,summary_json,emotion_acc,emotion_macro_f1,arousal2_mae,arousal3_mae,delta_f1_vs_phase2_main,delta_f1_vs_phase3_main,delta_f1_vs_v5_logreg_main,delta_f1_vs_v6_best,gap_to_0_7
fp32_v7_ce_ls_ws_gated_wide_main,fp32,derived/results/fp32_multitask_phase35_v7_ce_ls_ws_gated_wide_main/summary.json,0.6060962692715076,0.6056304639310627,0.23048327137546468,0.5604395604395604,0.2106178107017132,0.22810546362475465,0.03220890529226317,0.007100244206660999,0.09436953606893728
ml_v7_rbfsvm_main,ml,derived/results/ml_baselines_phase35_v7_rbfsvm_main/summary.json,0.6019771684123808,0.6002263664352733,0.214787277984304,0.5545787545787546,0.2052137132059238,0.22270136612896524,0.026804807796473762,0.0016961467108715933,0.09977363356472668
fp32_v6_best_ref,fp32,derived/results/fp32_multitask_phase35_v6_ce_ls_ws_main/summary.json,0.5993880193009298,0.5985302197244017,0.23337463857909954,0.5516483516483517,0.2035175664950522,0.22100521941809365,0.02510866108560217,0.0,0.10146978027559828
fp32_v7_ce_ls_ws_gated_main,fp32,derived/results/fp32_multitask_phase35_v7_ce_ls_ws_gated_main/summary.json,0.5943274096740025,0.5928601424597628,0.21974390747624947,0.5355311355311355,0.19784748923041334,0.21533514215345478,0.019438583820963307,-0.005670077264638862,0.10713985754023714
fp32_v7_focal_ws_gated_main,fp32,derived/results/fp32_multitask_phase35_v7_focal_ws_gated_main/summary.json,0.5911498175826763,0.5889227168780253,0.2271788517141677,0.5501831501831502,0.19391006364867586,0.2113977165717173,0.01550115823922582,-0.009607502846376348,0.11107728312197462
v5_logreg_main_ref,ml,derived/results/ml_baselines_phase35_v5_logreg_main/summary.json,0.5729080852065435,0.5734215586387995,0.26022304832713755,0.5538461538461539,0.17840890540945004,0.19589655833249148,0.0,-0.02510866108560217,0.12657844136120044
