run,mode,emotion_acc,emotion_macro_f1,emotion_n,arousal2_mae,arousal2_n,arousal3_mae,arousal3_n
main,audio,0.38762061661567426,0.36708990496837535,8498,0.2598099958694754,2421,0.5934065934065934,1365
main,video,0.27159331607437043,0.2536100556678463,8498,0.3271375464684015,2421,0.7194139194139194,1365
main,fusion,0.4122146387385267,0.3950126532293495,8498,0.24783147459727387,2421,0.5875457875457876,1365
cross_crema_to_ravdess,audio,0.2547348484848485,0.23863931622251414,1056,0.2831439393939394,1056,,0
cross_crema_to_ravdess,video,0.24621212121212122,0.17291993617186355,1056,0.375,1056,,0
cross_crema_to_ravdess,fusion,0.2528409090909091,0.22879563149425453,1056,0.2793560606060606,1056,,0
cross_ravdess_to_crema,audio,0.1957807041117979,0.1297090951560647,7442,0.41318681318681316,1365,,0
cross_ravdess_to_crema,video,0.1707874227358237,0.048624660469030946,7442,0.663003663003663,1365,,0
cross_ravdess_to_crema,fusion,0.17145928513840367,0.07141204059213567,7442,0.31648351648351647,1365,,0
