run,phase35_v2_logreg_fusion_f1,phase35_v2_logreg_fusion_acc,phase2_fusion_f1,delta_f1_vs_phase2_cross,summary_json
cross_crema_to_ravdess,0.16097483070155832,0.25946969696969696,0.22879563149425453,-0.0678208007926962,derived/results/ml_baselines_phase35_v2_logreg_cross_crema_to_ravdess/summary.json
cross_ravdess_to_crema,0.1437327023792804,0.17710292932007524,0.07141204059213567,0.07232066178714473,derived/results/ml_baselines_phase35_v2_logreg_cross_ravdess_to_crema/summary.json
